id,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2020,valid_from,valid_to
55,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Natural gas kWh (Net CV),0.20336,2020-01-01 00:00:00,2020-12-31 23:59:59
56,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Natural gas kWh (Net CV),0.00011,2020-01-01 00:00:00,2020-12-31 23:59:59
57,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg CO2e,Natural gas cubic metres,2.02266,2020-01-01 00:00:00,2020-12-31 23:59:59
58,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg CH4,Natural gas cubic metres,0.00271,2020-01-01 00:00:00,2020-12-31 23:59:59
59,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg CO2,Natural gas cubic metres,2.01888,2020-01-01 00:00:00,2020-12-31 23:59:59
60,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg N2O,Natural gas cubic metres,0.00107,2020-01-01 00:00:00,2020-12-31 23:59:59
61,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg CO2e,Natural gas tonnes,2533,2020-01-01 00:00:00,2020-12-31 23:59:59
62,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg CH4,Natural gas tonnes,3.4,2020-01-01 00:00:00,2020-12-31 23:59:59
63,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg CO2,Natural gas tonnes,2528.26,2020-01-01 00:00:00,2020-12-31 23:59:59
64,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg N2O,Natural gas tonnes,1.33,2020-01-01 00:00:00,2020-12-31 23:59:59
65,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Other petroleum gas kWh (Gross CV),0.18486,2020-01-01 00:00:00,2020-12-31 23:59:59
66,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Other petroleum gas kWh (Gross CV),0.00008,2020-01-01 00:00:00,2020-12-31 23:59:59
67,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Other petroleum gas kWh (Gross CV),0.18468,2020-01-01 00:00:00,2020-12-31 23:59:59
68,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Other petroleum gas kWh (Gross CV),0.0001,2020-01-01 00:00:00,2020-12-31 23:59:59
69,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Other petroleum gas kWh (Net CV),0.20094,2020-01-01 00:00:00,2020-12-31 23:59:59
70,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Other petroleum gas kWh (Net CV),0.00009,2020-01-01 00:00:00,2020-12-31 23:59:59
71,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Other petroleum gas kWh (Net CV),0.20074,2020-01-01 00:00:00,2020-12-31 23:59:59
72,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Other petroleum gas kWh (Net CV),0.00011,2020-01-01 00:00:00,2020-12-31 23:59:59
73,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,litres,kg CO2e,Other petroleum gas litres,0.95279,2020-01-01 00:00:00,2020-12-31 23:59:59
74,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,litres,kg CH4,Other petroleum gas litres,0.00043,2020-01-01 00:00:00,2020-12-31 23:59:59
75,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,litres,kg CO2,Other petroleum gas litres,0.95185,2020-01-01 00:00:00,2020-12-31 23:59:59
76,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,litres,kg N2O,Other petroleum gas litres,0.00051,2020-01-01 00:00:00,2020-12-31 23:59:59
77,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,tonnes,kg CO2e,Other petroleum gas tonnes,2601.11,2020-01-01 00:00:00,2020-12-31 23:59:59
78,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,tonnes,kg CH4,Other petroleum gas tonnes,1.17,2020-01-01 00:00:00,2020-12-31 23:59:59
79,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,tonnes,kg CO2,Other petroleum gas tonnes,2598.56,2020-01-01 00:00:00,2020-12-31 23:59:59
80,Fuels,Gaseous fuels,Other petroleum gas,Tonnes,tonnes,tonnes,kg N2O,Other petroleum gas tonnes,1.39,2020-01-01 00:00:00,2020-12-31 23:59:59
81,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation spirit kWh (Gross CV),0.24514,2020-01-01 00:00:00,2020-12-31 23:59:59
82,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Aviation spirit kWh (Gross CV),0.00466,2020-01-01 00:00:00,2020-12-31 23:59:59
83,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Aviation spirit kWh (Gross CV),0.23822,2020-01-01 00:00:00,2020-12-31 23:59:59
84,Fuels,Liquid fuels,Aviation spirit,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Aviation spirit kWh (Gross CV),0.00227,2020-01-01 00:00:00,2020-12-31 23:59:59
85,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation spirit kWh (Net CV),0.25805,2020-01-01 00:00:00,2020-12-31 23:59:59
86,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Aviation spirit kWh (Net CV),0.0049,2020-01-01 00:00:00,2020-12-31 23:59:59
87,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Aviation spirit kWh (Net CV),0.25076,2020-01-01 00:00:00,2020-12-31 23:59:59
88,Fuels,Liquid fuels,Aviation spirit,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Aviation spirit kWh (Net CV),0.00239,2020-01-01 00:00:00,2020-12-31 23:59:59
89,Fuels,Liquid fuels,Aviation spirit,Volume,litres,litres,kg CO2e,Aviation spirit litres,2.29082,2020-01-01 00:00:00,2020-12-31 23:59:59
90,Fuels,Liquid fuels,Aviation spirit,Volume,litres,litres,kg CH4,Aviation spirit litres,0.04351,2020-01-01 00:00:00,2020-12-31 23:59:59
91,Fuels,Liquid fuels,Aviation spirit,Volume,litres,litres,kg CO2,Aviation spirit litres,2.2261,2020-01-01 00:00:00,2020-12-31 23:59:59
92,Fuels,Liquid fuels,Aviation spirit,Volume,litres,litres,kg N2O,Aviation spirit litres,0.02121,2020-01-01 00:00:00,2020-12-31 23:59:59
93,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,tonnes,kg CO2e,Aviation spirit tonnes,3218.6,2020-01-01 00:00:00,2020-12-31 23:59:59
94,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,tonnes,kg CH4,Aviation spirit tonnes,61.13,2020-01-01 00:00:00,2020-12-31 23:59:59
95,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,tonnes,kg CO2,Aviation spirit tonnes,3127.67,2020-01-01 00:00:00,2020-12-31 23:59:59
96,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,tonnes,kg N2O,Aviation spirit tonnes,29.8,2020-01-01 00:00:00,2020-12-31 23:59:59
97,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Aviation turbine fuel kWh (Gross CV),0.24782,2020-01-01 00:00:00,2020-12-31 23:59:59
98,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Aviation turbine fuel kWh (Gross CV),0.00015,2020-01-01 00:00:00,2020-12-31 23:59:59
99,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Aviation turbine fuel kWh (Gross CV),0.24535,2020-01-01 00:00:00,2020-12-31 23:59:59
100,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Aviation turbine fuel kWh (Gross CV),0.00232,2020-01-01 00:00:00,2020-12-31 23:59:59
101,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Aviation turbine fuel kWh (Net CV),0.26086,2020-01-01 00:00:00,2020-12-31 23:59:59
102,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Aviation turbine fuel kWh (Net CV),0.00016,2020-01-01 00:00:00,2020-12-31 23:59:59
103,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Aviation turbine fuel kWh (Net CV),0.25826,2020-01-01 00:00:00,2020-12-31 23:59:59
104,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Aviation turbine fuel kWh (Net CV),0.00244,2020-01-01 00:00:00,2020-12-31 23:59:59
105,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,litres,kg CO2e,Aviation turbine fuel litres,2.5431,2020-01-01 00:00:00,2020-12-31 23:59:59
106,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,litres,kg CH4,Aviation turbine fuel litres,0.00156,2020-01-01 00:00:00,2020-12-31 23:59:59
107,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,litres,kg CO2,Aviation turbine fuel litres,2.51772,2020-01-01 00:00:00,2020-12-31 23:59:59
108,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,litres,kg N2O,Aviation turbine fuel litres,0.02382,2020-01-01 00:00:00,2020-12-31 23:59:59
109,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,tonnes,kg CO2e,Aviation turbine fuel tonnes,3181.41,2020-01-01 00:00:00,2020-12-31 23:59:59
110,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,tonnes,kg CH4,Aviation turbine fuel tonnes,1.95,2020-01-01 00:00:00,2020-12-31 23:59:59
111,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,tonnes,kg CO2,Aviation turbine fuel tonnes,3149.67,2020-01-01 00:00:00,2020-12-31 23:59:59
112,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,tonnes,kg N2O,Aviation turbine fuel tonnes,29.8,2020-01-01 00:00:00,2020-12-31 23:59:59
113,Fuels,Liquid fuels,Burning oil,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Burning oil kWh (Gross CV),0.24666,2020-01-01 00:00:00,2020-12-31 23:59:59
114,Fuels,Liquid fuels,Burning oil,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Burning oil kWh (Gross CV),0.00061,2020-01-01 00:00:00,2020-12-31 23:59:59
115,Fuels,Liquid fuels,Burning oil,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Burning oil kWh (Gross CV),0.24544,2020-01-01 00:00:00,2020-12-31 23:59:59
116,Fuels,Liquid fuels,Burning oil,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Burning oil kWh (Gross CV),0.00061,2020-01-01 00:00:00,2020-12-31 23:59:59
117,Fuels,Liquid fuels,Burning oil,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Burning oil kWh (Net CV),0.25964,2020-01-01 00:00:00,2020-12-31 23:59:59
118,Fuels,Liquid fuels,Burning oil,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Burning oil kWh (Net CV),0.00064,2020-01-01 00:00:00,2020-12-31 23:59:59
119,Fuels,Liquid fuels,Burning oil,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Burning oil kWh (Net CV),0.25835,2020-01-01 00:00:00,2020-12-31 23:59:59
120,Fuels,Liquid fuels,Burning oil,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Burning oil kWh (Net CV),0.00064,2020-01-01 00:00:00,2020-12-31 23:59:59
121,Fuels,Liquid fuels,Burning oil,Volume,litres,litres,kg CO2e,Burning oil litres,2.54039,2020-01-01 00:00:00,2020-12-31 23:59:59
122,Fuels,Liquid fuels,Burning oil,Volume,litres,litres,kg CH4,Burning oil litres,0.00627,2020-01-01 00:00:00,2020-12-31 23:59:59
123,Fuels,Liquid fuels,Burning oil,Volume,litres,litres,kg CO2,Burning oil litres,2.52782,2020-01-01 00:00:00,2020-12-31 23:59:59
124,Fuels,Liquid fuels,Burning oil,Volume,litres,litres,kg N2O,Burning oil litres,0.0063,2020-01-01 00:00:00,2020-12-31 23:59:59
125,Fuels,Liquid fuels,Burning oil,Tonnes,tonnes,tonnes,kg CO2e,Burning oil tonnes,3165.32,2020-01-01 00:00:00,2020-12-31 23:59:59
126,Fuels,Liquid fuels,Burning oil,Tonnes,tonnes,tonnes,kg CH4,Burning oil tonnes,7.81,2020-01-01 00:00:00,2020-12-31 23:59:59
127,Fuels,Liquid fuels,Burning oil,Tonnes,tonnes,tonnes,kg CO2,Burning oil tonnes,3149.67,2020-01-01 00:00:00,2020-12-31 23:59:59
128,Fuels,Liquid fuels,Burning oil,Tonnes,tonnes,tonnes,kg N2O,Burning oil tonnes,7.85,2020-01-01 00:00:00,2020-12-31 23:59:59
129,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Diesel (average biofuel blend) kWh (Gross CV),0.24057,2020-01-01 00:00:00,2020-12-31 23:59:59
130,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Diesel (average biofuel blend) kWh (Gross CV),0.00002,2020-01-01 00:00:00,2020-12-31 23:59:59
131,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Diesel (average biofuel blend) kWh (Gross CV),0.23724,2020-01-01 00:00:00,2020-12-31 23:59:59
132,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Diesel (average biofuel blend) kWh (Gross CV),0.00331,2020-01-01 00:00:00,2020-12-31 23:59:59
133,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Diesel (average biofuel blend) kWh (Net CV),0.25568,2020-01-01 00:00:00,2020-12-31 23:59:59
134,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Net CV,kWh,kWh (Net CV),kg CH4,Diesel (average biofuel blend) kWh (Net CV),0.00003,2020-01-01 00:00:00,2020-12-31 23:59:59
135,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Net CV,kWh,kWh (Net CV),kg CO2,Diesel (average biofuel blend) kWh (Net CV),0.25214,2020-01-01 00:00:00,2020-12-31 23:59:59
136,Fuels,Liquid fuels,Diesel (average biofuel blend),Energy - Net CV,kWh,kWh (Net CV),kg N2O,Diesel (average biofuel blend) kWh (Net CV),0.00352,2020-01-01 00:00:00,2020-12-31 23:59:59
137,Fuels,Liquid fuels,Diesel (average biofuel blend),Volume,litres,litres,kg CO2e,Diesel (average biofuel blend) litres,2.54603,2020-01-01 00:00:00,2020-12-31 23:59:59
138,Fuels,Liquid fuels,Diesel (average biofuel blend),Volume,litres,litres,kg CH4,Diesel (average biofuel blend) litres,0.00025,2020-01-01 00:00:00,2020-12-31 23:59:59
139,Fuels,Liquid fuels,Diesel (average biofuel blend),Volume,litres,litres,kg CO2,Diesel (average biofuel blend) litres,2.51072,2020-01-01 00:00:00,2020-12-31 23:59:59
140,Fuels,Liquid fuels,Diesel (average biofuel blend),Volume,litres,litres,kg N2O,Diesel (average biofuel blend) litres,0.03506,2020-01-01 00:00:00,2020-12-31 23:59:59
141,Fuels,Liquid fuels,Diesel (average biofuel blend),Tonnes,tonnes,tonnes,kg CO2e,Diesel (average biofuel blend) tonnes,3028.61,2020-01-01 00:00:00,2020-12-31 23:59:59
142,Fuels,Liquid fuels,Diesel (average biofuel blend),Tonnes,tonnes,tonnes,kg CH4,Diesel (average biofuel blend) tonnes,0.3,2020-01-01 00:00:00,2020-12-31 23:59:59
143,Fuels,Liquid fuels,Diesel (average biofuel blend),Tonnes,tonnes,tonnes,kg CO2,Diesel (average biofuel blend) tonnes,2986.6,2020-01-01 00:00:00,2020-12-31 23:59:59
