id,Level 1,Level 2,Level 3,Column Text,UOM,GHG,GHG Conversion Factor 2017,valid_from,valid_to
89,Fuels,Liquid fuels,Aviation spirit,Volume,litres,kg CO2e,2.25497,2017-01-01 00:00:00,2017-12-31 23:59:59
90,Fuels,Liquid fuels,Aviation spirit,Volume,litres,kg CH4,0.01245,2017-01-01 00:00:00,2017-12-31 23:59:59
91,Fuels,Liquid fuels,Aviation spirit,Volume,litres,kg CO2,2.22135,2017-01-01 00:00:00,2017-12-31 23:59:59
92,Fuels,Liquid fuels,Aviation spirit,Volume,litres,kg N2O,0.02116,2017-01-01 00:00:00,2017-12-31 23:59:59
93,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,kg CO2e,3175.00329,2017-01-01 00:00:00,2017-12-31 23:59:59
94,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,kg CH4,17.53662,2017-01-01 00:00:00,2017-12-31 23:59:59
95,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,kg CO2,3127.66667,2017-01-01 00:00:00,2017-12-31 23:59:59
96,Fuels,Liquid fuels,Aviation spirit,Tonnes,tonnes,kg N2O,29.8,2017-01-01 00:00:00,2017-12-31 23:59:59
97,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.24766,2017-01-01 00:00:00,2017-12-31 23:59:59
98,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00014,2017-01-01 00:00:00,2017-12-31 23:59:59
99,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh (Gross CV),kg CO2,0.2452,2017-01-01 00:00:00,2017-12-31 23:59:59
100,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00232,2017-01-01 00:00:00,2017-12-31 23:59:59
101,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh (Net CV),kg CO2e,0.26069,2017-01-01 00:00:00,2017-12-31 23:59:59
102,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh (Net CV),kg CH4,0.00014,2017-01-01 00:00:00,2017-12-31 23:59:59
103,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh (Net CV),kg CO2,0.25811,2017-01-01 00:00:00,2017-12-31 23:59:59
104,Fuels,Liquid fuels,Aviation turbine fuel,Energy - Net CV,kWh (Net CV),kg N2O,0.00244,2017-01-01 00:00:00,2017-12-31 23:59:59
105,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,kg CO2e,2.53888,2017-01-01 00:00:00,2017-12-31 23:59:59
106,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,kg CH4,0.0014,2017-01-01 00:00:00,2017-12-31 23:59:59
107,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,kg CO2,2.5137,2017-01-01 00:00:00,2017-12-31 23:59:59
108,Fuels,Liquid fuels,Aviation turbine fuel,Volume,litres,kg N2O,0.02378,2017-01-01 00:00:00,2017-12-31 23:59:59
109,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,kg CO2e,3181.22089,2017-01-01 00:00:00,2017-12-31 23:59:59
110,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,kg CH4,1.75423,2017-01-01 00:00:00,2017-12-31 23:59:59
111,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,kg CO2,3149.66667,2017-01-01 00:00:00,2017-12-31 23:59:59
112,Fuels,Liquid fuels,Aviation turbine fuel,Tonnes,tonnes,kg N2O,29.8,2017-01-01 00:00:00,2017-12-31 23:59:59
113,Fuels,Liquid fuels,Burning oil,Energy - Gross CV,kWh (Gross CV),kg CO2e,0.24659,2017-01-01 00:00:00,2017-12-31 23:59:59
114,Fuels,Liquid fuels,Burning oil,Energy - Gross CV,kWh (Gross CV),kg CH4,0.00062,2017-01-01 00:00:00,2017-12-31 23:59:59
115,Fuels,Liquid fuels,Burning oil,Energy - Gross CV,kWh (Gross CV),kg CO2,0.24536,2017-01-01 00:00:00,2017-12-31 23:59:59
116,Fuels,Liquid fuels,Burning oil,Energy - Gross CV,kWh (Gross CV),kg N2O,0.00061,2017-01-01 00:00:00,2017-12-31 23:59:59
117,Fuels,Liquid fuels,Burning oil,Energy - Net CV,kWh (Net CV),kg CO2e,0.25957,2017-01-01 00:00:00,2017-12-31 23:59:59
118,Fuels,Liquid fuels,Burning oil,Energy - Net CV,kWh (Net CV),kg CH4,0.00065,2017-01-01 00:00:00,2017-12-31 23:59:59
119,Fuels,Liquid fuels,Burning oil,Energy - Net CV,kWh (Net CV),kg CO2,0.25828,2017-01-01 00:00:00,2017-12-31 23:59:59
120,Fuels,Liquid fuels,Burning oil,Energy - Net CV,kWh (Net CV),kg N2O,0.00064,2017-01-01 00:00:00,2017-12-31 23:59:59
