id,Level 1,Level 2,Fuel Type,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2014,valid_from,valid_to
2014_50,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Mixed (Industrial Sector),22.35,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_51,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Mixed (Industrial Sector),94.67,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_52,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Mixed (Industrial Sector),11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_53,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Mixed (Industrial Sector),1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_54,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Mixed (Industrial Sector),2116,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_55,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Mixed (Industrial Sector),246,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_56,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Mixed (Industrial Sector),36,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_57,Fuels,Solid,Coal & Coke,short ton,short ton,mmbtu,Coal Coke,24.8,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_58,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,kg CO2,Coal Coke,113.67,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_59,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g CH4,Coal Coke,11,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_60,Fuels,Solid,Coal & Coke,mmbtu,mmbtu,g N2O,Coal Coke,1.6,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_61,Fuels,Solid,Coal & Coke,short ton,short ton,kg CO2,Coal Coke,2819,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_62,Fuels,Solid,Coal & Coke,short ton,short ton,g CH4,Coal Coke,273,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_63,Fuels,Solid,Coal & Coke,short ton,short ton,g N2O,Coal Coke,40,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_64,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,mmbtu,Municipal Solid Waste,9.95,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_65,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,kg CO2,Municipal Solid Waste,90.7,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_66,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g CH4,Municipal Solid Waste,32,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_67,Fuels,Solid,Fossil Fuel-derived Fuels,mmbtu,mmbtu,g N2O,Municipal Solid Waste,4.2,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_68,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,kg CO2,Municipal Solid Waste,902,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_69,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,g CH4,Municipal Solid Waste,318,2014-01-01 00:00:00,2014-12-31 23:59:59
2014_70,Fuels,Solid,Fossil Fuel-derived Fuels,short ton,short ton,g N2O,Municipal Solid Waste,42,2014-01-01 00:00:00,2014-12-31 23:59:59
