id,Scope,Level 1,Level 2,Level 3,Column Text,UOM (simple),UOM,GHG,Lookup,GHG Conversion Factor 2021,valid_from,valid_to
71,Scope1,Fuels,Gaseous fuels,Natural gas,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Natural gas kWh (Net CV),0.00011,2021-01-01 00:00:00,2021-12-31 23:59:59
72,Scope1,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg CO2e,Natural gas cubic metres,2.02135,2021-01-01 00:00:00,2021-12-31 23:59:59
73,Scope1,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg CH4,Natural gas cubic metres,0.00274,2021-01-01 00:00:00,2021-12-31 23:59:59
74,Scope1,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg CO2,Natural gas cubic metres,2.01754,2021-01-01 00:00:00,2021-12-31 23:59:59
75,Scope1,Fuels,Gaseous fuels,Natural gas,Volume,cubic metres,cubic metres,kg N2O,Natural gas cubic metres,0.00107,2021-01-01 00:00:00,2021-12-31 23:59:59
76,Scope1,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg CO2e,Natural gas tonnes,2538.48,2021-01-01 00:00:00,2021-12-31 23:59:59
77,Scope1,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg CH4,Natural gas tonnes,3.44,2021-01-01 00:00:00,2021-12-31 23:59:59
78,Scope1,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg CO2,Natural gas tonnes,2533.69,2021-01-01 00:00:00,2021-12-31 23:59:59
79,Scope1,Fuels,Gaseous fuels,Natural gas,Tonnes,tonnes,tonnes,kg N2O,Natural gas tonnes,1.34,2021-01-01 00:00:00,2021-12-31 23:59:59
80,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2e,Other petroleum gas kWh (Gross CV),0.18324,2021-01-01 00:00:00,2021-12-31 23:59:59
81,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CH4,Other petroleum gas kWh (Gross CV),0.00008,2021-01-01 00:00:00,2021-12-31 23:59:59
82,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh,kWh (Gross CV),kg CO2,Other petroleum gas kWh (Gross CV),0.18305,2021-01-01 00:00:00,2021-12-31 23:59:59
83,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Energy - Gross CV,kWh,kWh (Gross CV),kg N2O,Other petroleum gas kWh (Gross CV),0.0001,2021-01-01 00:00:00,2021-12-31 23:59:59
84,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh,kWh (Net CV),kg CO2e,Other petroleum gas kWh (Net CV),0.19917,2021-01-01 00:00:00,2021-12-31 23:59:59
85,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh,kWh (Net CV),kg CH4,Other petroleum gas kWh (Net CV),0.00009,2021-01-01 00:00:00,2021-12-31 23:59:59
86,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh,kWh (Net CV),kg CO2,Other petroleum gas kWh (Net CV),0.19897,2021-01-01 00:00:00,2021-12-31 23:59:59
87,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Energy - Net CV,kWh,kWh (Net CV),kg N2O,Other petroleum gas kWh (Net CV),0.00011,2021-01-01 00:00:00,2021-12-31 23:59:59
88,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,litres,kg CO2e,Other petroleum gas litres,0.94441,2021-01-01 00:00:00,2021-12-31 23:59:59
89,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,litres,kg CH4,Other petroleum gas litres,0.00043,2021-01-01 00:00:00,2021-12-31 23:59:59
90,Scope1,Fuels,Gaseous fuels,Other petroleum gas,Volume,litres,litres,kg CO2,Other petroleum gas litres,0.94348,2021-01-01 00:00:00,2021-12-31 23:59:59
